OsID	species	experiment_acc	treatment	log2FC	adj_pvalue			
Os01g0718300	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	1.2	5.42E-05			
Os08g0509600	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	1.2	5.49E-05			
Os04g0401000	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-1.2	5.69E-05			
Os02g0724000	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	-1.2	5.80E-05			
Os04g0615000	oryza sativa	E-GEOD-44250	potassium deficient medium with 6 hour resupply vs potassium deficient medium with no resupply	-1.2	7.98E-05			
Os05g0158500	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	1.2	8.24E-05			
Os02g0703600	oryza sativa	E-MTAB-5118	60:1 carbon:nitrogen ratio vs 1:1 carbon:nitrogen ratio	1.2	8.54E-05			
Os03g0103300	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Baldo; root	1.2	8.74E-05			
Os01g0197100	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME5 vs Nipponbare; mock	-1.2	9.63E-05			
Os01g0718300	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	1.2	0.000127117			
Os03g0793500	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	-1.2	0.00012844			
Os09g0441900	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	1.2	0.000130912			
Os05g0207500	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-1.2	0.000176099			
Os03g0112700	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	1.2	0.000213623			
Os03g0793500	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	-1.2	0.000360046			
Os01g0859300	oryza sativa	E-MEXP-2267	anerobic to anaerobic switch; 30 hour vs anerobic to anaerobic switch; 27 hour	-1.2	0.000394288			
Os01g0848400	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in K354	1.2	0.00039761			
Os04g0615000	oryza sativa	E-MTAB-1624	normal watering at 5 hours vs. 1 hour	-1.2	0.000451362			
Os01g0307500	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	-1.2	0.000463955			
Os01g0859300	oryza sativa	E-MTAB-5524	4-chloro-6-methyl-2-phenylpyrimidine; 100 micromolar vs vehicle at 4 hour	1.2	0.000496024			
Os05g0187500	oryza sativa	E-GEOD-39432	14 days after flowering vs 7 days after flowering in endosperm	1.2	0.000501633			
Os04g0615000	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	-1.2	0.000591169			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; mock	1.2	0.000624352			
Os09g0441900	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	1.2	0.000658068			
Os05g0187500	oryza sativa	E-GEOD-21396	14 days after flowering vs 7 days after flowering in endosperm	1.2	0.000765677			
Os01g0911700	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	-1.2	0.00080087			
Os09g0441900	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs vehicle at 4 hour	-1.2	0.001236123			
Os02g0724000	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	1.2	0.001444528			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	1.2	0.001613241			
Os01g0718300	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	-1.2	0.001727414			
Os03g0112700	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	1.2	0.001789083			
Os01g0197100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	1.2	0.001924022			
Os01g0848400	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 504 hour	-1.2	0.001968818			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	-1.2	0.002216126			
Os05g0187500	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	1.2	0.0023922			
Os04g0469800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; none	-1.2	0.002467403			
Os02g0724000	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 24 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	1.2	0.002934236			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	1.2	0.00299215			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	1.2	0.003037378			
Os01g0197100	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in moderately resistant to bacterial panicle blight disease at seedling stage	-1.2	0.003095804			
Os03g0112700	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	1.2	0.003097375			
Os09g0441900	oryza sativa	E-MEXP-2311	wild type; internode vs wild type; internode pith parenchyma	-1.2	0.003169143			
Os02g0703600	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A vs Nipponbare; mock	1.2	0.00319345			
Os05g0207500	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	-1.2	0.003267838			
Os01g0718300	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs vehicle at 4 hour	-1.2	0.003450383			
Os02g0787300	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	-1.2	0.004047552			
Os01g0718300	oryza sativa	E-GEOD-41097	dao mutant vs wild type	1.2	0.005289365			
Os04g0401000	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	-1.2	0.00556569			
Os01g0859300	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	1.2	0.007229848			
Os01g0859300	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	-1.2	0.007422658			
Os05g0187500	oryza sativa	E-GEOD-21397	55 days after transplanting vs 13 days after transplanting	-1.2	0.007462529			
Os08g0509600	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs vehicle at 4 hour	1.2	0.007809938			
Os02g0787300	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-1.2	0.010346234			
Os02g0703600	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 8 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	-1.2	0.012290242			
Os01g0883800	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Baldo; root	-1.2	0.014111226			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; mock	1.2	0.015411326			
Os04g0401000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO86 vs Nipponbare; mock	1.2	0.017231583			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	-1.2	0.018020869			
Os02g0703600	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 24 hours vs. 1 hour	1.2	0.018532757			
Os02g0703600	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 24 hours vs. 1 hour	1.2	0.028838631			
Os05g0207500	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	-1.2	0.029177521			
Os09g0441900	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	1.2	0.035649192			
Os04g0401000	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	-1.2	0.039069591			
Os05g0158500	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	-1.2	0.041084968			
Os02g0703600	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 3 hour; plant embryo coleoptile	-1.1	1.35E-18			
Os04g0615000	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-1.1	4.74E-18			
Os02g0724000	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-1.1	9.40E-18			
Os04g0401000	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	1.1	4.41E-17			
Os04g0615000	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 5 hours vs. 1 hour	-1.1	2.76E-10			
Os03g0700400	oryza sativa	E-GEOD-116423	ZnF7 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1.1	5.52E-09			
Os04g0401000	oryza sativa	E-GEOD-47812	aromatic RILs vs aromatic parent	-1.1	3.21E-08			
Os03g0103300	oryza sativa	E-MTAB-5759	OsMPH1 knockdown vs wild type genotype	-1.1	3.49E-08			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 168 hour	-1.1	3.15E-06			
Os01g0718300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	1.1	6.60E-06			
Os05g0158500	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-1.1	6.68E-06			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 510 hour	-1.1	3.98E-05			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 510 hour	1.1	4.00E-05			
Os01g0648000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME1 vs Nipponbare; mock	1.1	4.16E-05			
Os05g0207500	oryza sativa	E-MTAB-4994	drought environment vs normal watering	-1.1	5.19E-05			
Os02g0724000	oryza sativa	E-MTAB-5118	60:1 carbon:nitrogen ratio vs 1:1 carbon:nitrogen ratio	1.1	5.24E-05			
Os01g0197100	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	1.1	6.53E-05			
Os03g0103300	oryza sativa	E-GEOD-93081	Rcc3-OsERF48 vs wild type genotype	1.1	6.83E-05			
Os05g0207500	oryza sativa	E-GEOD-8380	OsWRKY13 overexpression line D11UM7-2 vs wild type genotype	1.1	8.84E-05			
Os01g0648000	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in K354	-1.1	9.00E-05			
Os02g0787300	oryza sativa	E-CURD-37	Pyricularia oryzae vs none in nitrogen fertiliser at 2 day	1.1	0.000122613			
Os05g0207500	oryza sativa	E-GEOD-8380	OsWRKY13 overexpression line D11UM1-1 vs wild type genotype	1.1	0.000129101			
Os02g0703600	oryza sativa	E-GEOD-69010	"'phr1, phr2, phr3 triple mutant' vs 'wild type'"	1.1	0.000134976			
Os01g0307500	oryza sativa	E-MTAB-5118	60:1 carbon:nitrogen ratio vs 1:1 carbon:nitrogen ratio	-1.1	0.000143483			
Os02g0787300	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 3 hour	1.1	0.000323123			
Os09g0441900	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	1.1	0.000355205			
Os03g0112700	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; mock	1.1	0.000372773			
Os02g0787300	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	1.1	0.000382116			
Os01g0648000	oryza sativa	E-GEOD-37940	2 hour;cold stress vs 0 hour;control in K354	-1.1	0.000415878			
Os03g0112700	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; mock	1.1	0.000467946			
Os01g0648000	oryza sativa	E-MEXP-2267	3 hour vs 1 hour in anaerobic	1.1	0.000513185			
Os09g0441900	oryza sativa	E-MTAB-5941	cold temperature regimen; 2 hour vs none; 0 hour in Volano	1.1	0.000562389			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; mock	1.1	0.000640744			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; mock	1.1	0.000779443			
Os02g0703600	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	-1.1	0.000782964			
Os04g0401000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae BLS303 vs Nipponbare; mock	1.1	0.000833959			
Os04g0469800	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	1.1	0.000939593			
Os01g0718300	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	1.1	0.001115309			
Os01g0648000	oryza sativa	E-GEOD-69010	"'phr1, phr2, phr3 triple mutant' vs 'wild type'"	1.1	0.001226482			
Os05g0158500	oryza sativa	E-GEOD-31834	upper shoot base; 6 hour; after gravistimulation vs shoot base; control	-1.1	0.001447408			
Os01g0197100	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	1.1	0.001464155			
Os02g0724000	oryza sativa	E-GEOD-31834	lower shoot base; 6 hour; after gravistimulation vs shoot base; control	-1.1	0.001667275			
Os02g0724000	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 24 hours vs. 5 hours	1.1	0.001686447			
Os04g0401000	oryza sativa	E-CURD-37	Pyricularia oryzae vs none in none at 2 day	-1.1	0.001694944			
Os03g0112700	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; mock	1.1	0.002286267			
Os02g0703600	oryza sativa	E-GEOD-31834	lower shoot base; 6 hour; after gravistimulation vs shoot base; control	1.1	0.002401835			
Os01g0648000	oryza sativa	E-MEXP-1766	"'3 hour, germination' vs '0 hour, dry seed'"	1.1	0.00265944			
Os01g0648000	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	1.1	0.002751439			
Os05g0158500	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 6 hour	1.1	0.002838301			
Os01g0197100	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	1.1	0.003191455			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; none	1.1	0.003786306			
Os02g0703600	oryza sativa	E-MTAB-5118	60:60 carbon:nitrogen ratio vs 1:1 carbon:nitrogen ratio	1.1	0.004187127			
Os01g0883800	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME7 vs Nipponbare; mock	-1.1	0.004355819			
Os01g0197100	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	1.1	0.004446135			
Os01g0859300	oryza sativa	E-GEOD-116423	ZnF7 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1.1	0.005645332			
Os05g0158500	oryza sativa	E-GEOD-58603	abscisic acid; wild type genotype; sodium chloride 140 millimolar; root vs none; wild type genotype; sodium chloride 140 millimolar; root	-1.1	0.005847772			
Os04g0401000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A-2 vs Nipponbare; mock	1.1	0.006497989			
Os05g0158500	oryza sativa	E-GEOD-9498	gif1 mutant vs wild type	1.1	0.006545912			
Os02g0724000	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	1.1	0.006904063			
Os02g0120100	oryza sativa	E-GEOD-54243	3 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	1.1	0.007392843			
Os01g0718300	oryza sativa	E-GEOD-38023	recovery from cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	-1.1	0.007469591			
Os05g0187500	oryza sativa	E-GEOD-21397	62 days after transplanting vs 13 days after transplanting	-1.1	0.007510666			
Os03g0122600	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	-1.1	0.0075332			
Os01g0307500	oryza sativa	E-CURD-37	Pyricularia oryzae vs none in none at 2 day	-1.1	0.007818294			
Os03g0112700	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	1.1	0.008215849			
Os04g0401000	oryza sativa	E-GEOD-58603	none; wild type genotype; sodium chloride 140 millimolar; root vs none; wild type genotype; normal watering; root	-1.1	0.009496712			
Os03g0112700	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	1.1	0.010447485			
Os03g0762000	oryza sativa	E-MTAB-5524	fenclorim; 100 micromolar vs vehicle at 4 hour	1.1	0.010524848			
Os02g0703600	oryza sativa	E-GEOD-44250	potassium deficient medium for 5 days vs potassium sufficient medium for 5 days	-1.1	0.010976708			
Os05g0187500	oryza sativa	E-GEOD-21397	48 days after transplanting vs 13 days after transplanting	-1.1	0.012048942			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7341 vs mock	1.1	0.01356952			
Os02g0724000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME5 vs Nipponbare; mock	-1.1	0.016105577			
Os09g0441900	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	1.1	0.016221593			
Os05g0158500	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae BLS303 vs Nipponbare; mock	-1.1	0.016402621			
Os02g0703600	oryza sativa	E-MTAB-5118	60:60 carbon:nitrogen ratio vs 1:60 carbon:nitrogen ratio	1.1	0.016771517			
Os02g0703600	oryza sativa	E-GEOD-39298	Epi-df vs wild type	-1.1	0.018744959			
Os01g0848400	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	-1.1	0.021882294			
Os01g0859300	oryza sativa	E-GEOD-46867	gi knockout vs wild type in root	-1.1	0.023956866			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; mock	1.1	0.024880851			
Os01g0307500	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 8 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	-1.1	0.025296165			
Os04g0469800	oryza sativa	E-GEOD-31834	lower shoot base; 6 hour; after gravistimulation vs shoot base; control	-1.1	0.027305467			
Os01g0648000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	1.1	0.029359641			
Os01g0883800	oryza sativa	E-MTAB-5025	microinjection with insect-derived Rice stripe virus vs microinjection with extracts of nonviruliferous planthoppers	1.1	0.037175582			
Os02g0703600	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Vialone Nano; leaf	-1.1	0.037594553			
Os05g0187500	oryza sativa	E-GEOD-29967	Rathu Heenati; resistant variety to brown planthopper; 8 hour vs Rathu Heenati; resistant variety to brown planthopper; 0 hour	-1.1	0.038616095			
Os03g0793500	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	1	1.84E-16			
Os01g0859300	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-1	2.12E-15			
Os04g0401000	oryza sativa	E-GEOD-116423	PROG1 deletion mutant vs wild type genotype in PROG1 cohort	-1	2.89E-13			
Os02g0120100	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	-1	8.42E-13			
Os03g0793500	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	1	1.39E-12			
Os04g0401000	oryza sativa	E-GEOD-116423	ZnF7 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	1	3.93E-09			
Os05g0158500	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 510 hour	1	6.26E-09			
Os05g0158500	oryza sativa	E-CURD-37	nitrogen fertiliser vs none in Pyricularia oryzae at 2 day	1	1.14E-08			
Os03g0103300	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	-1	2.12E-08			
Os03g0103300	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-1	3.54E-08			
Os04g0401000	oryza sativa	E-MTAB-5759	OsMPH1 knockdown vs wild type genotype	1	4.39E-06			
Os01g0718300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	1	6.61E-06			
Os01g0718300	oryza sativa	E-MEXP-1766	"12 hour, germination vs 0 hour, dry seed"	1	7.82E-06			
Os01g0859300	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	1	1.30E-05			
Os05g0207500	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	-1	1.61E-05			
Os03g0112700	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	1	1.64E-05			
Os01g0718300	oryza sativa	E-MTAB-3230	PEG Stress vs normal in Mutant	-1	1.70E-05			
Os09g0441900	oryza sativa	E-GEOD-116423	ZnF7 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	1	1.76E-05			
Os05g0158500	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 3 hour	-1	3.92E-05			
Os02g0724000	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	1	4.83E-05			
Os02g0724000	oryza sativa	E-MTAB-5118	60:60 carbon:nitrogen ratio vs 1:1 carbon:nitrogen ratio	1	5.17E-05			
Os03g0103300	oryza sativa	E-MTAB-5025	microinjection with insect-derived Rice stripe virus vs microinjection with extracts of nonviruliferous planthoppers	1	6.00E-05			
Os01g0848400	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	-1	6.31E-05			
Os01g0718300	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-1	8.28E-05			
Os01g0648000	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	-1	0.00010634			
Os02g0724000	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	1	0.000140688			
Os08g0509600	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 3 hour	1	0.000142777			
Os02g0787300	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME1 vs Nipponbare; mock	-1	0.000145922			
Os01g0197100	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1	0.000148822			
Os08g0509600	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	1	0.00016146			
Os02g0120100	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	1	0.000164779			
Os01g0648000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A-2 vs Nipponbare; mock	1	0.00018162			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 505 hour	1	0.000199016			
Os03g0793500	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	-1	0.000242888			
Os02g0120100	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 24 hours vs. 5 hours	1	0.000262136			
Os01g0648000	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in C418	-1	0.000298			
Os01g0718300	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A-2 vs Nipponbare; mock	1	0.000303449			
Os08g0509600	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	1	0.000345107			
Os01g0307500	oryza sativa	E-MTAB-5118	60:60 carbon:nitrogen ratio vs 1:1 carbon:nitrogen ratio	-1	0.000416378			
Os03g0122600	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in K354	1	0.000485839			
Os01g0307500	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-1	0.000497111			
Os03g0793500	oryza sativa	E-MEXP-1766	"3 hour, germination vs 0 hour, dry seed"	-1	0.000501916			
Os01g0718300	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	1	0.000549679			
Os02g0120100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; mock	1	0.00065381			
Os01g0197100	oryza sativa	E-GEOD-37940	2 hour;cold stress vs 0 hour;control in K354	1	0.000741774			
Os02g0724000	oryza sativa	E-GEOD-31834	upper shoot base; 6 hour; after gravistimulation vs shoot base; control	-1	0.000898285			
Os01g0648000	oryza sativa	E-MEXP-1766	"24 hour, germination vs 0 hour, dry seed"	1	0.00097553			
Os05g0158500	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	-1	0.001130442			
Os01g0648000	oryza sativa	E-GEOD-46867	pho2 knockout vs wild type in shoot	-1	0.001220072			
Os01g0922800	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	-1	0.001325937			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; none	1	0.001432737			
Os04g0615000	oryza sativa	E-MTAB-1624	300 millimolar sodium chloride at 5 hours vs. 1 hour	-1	0.001438569			
Os03g0122600	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1	0.001599067			
Os01g0307500	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	-1	0.001880789			
Os05g0158500	oryza sativa	E-MTAB-1624	normal watering at 24 hours vs. 5 hours	-1	0.00192585			
Os05g0158500	oryza sativa	E-GEOD-46867	pho2 knockout vs wild type in shoot	-1	0.00252941			
Os01g0197100	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; mock	1	0.002531535			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; mock	-1	0.002693795			
Os03g0122600	oryza sativa	E-MTAB-5524	4-chloro-6-methyl-2-phenylpyrimidine; 100 micromolar vs vehicle at 24 hour	-1	0.002809294			
Os03g0103300	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Vialone Nano; leaf	-1	0.003146616			
Os01g0883800	oryza sativa	E-GEOD-45724	alkali; Jijing88 vs control; Jijing88	1	0.00333657			
Os04g0469800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	-1	0.003616107			
Os02g0724000	oryza sativa	E-GEOD-25206	lead; 100 micromolar vs water	1	0.0036938			
Os01g0718300	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	1	0.00480309			
